disease_name,severity,medications,safety_tips,precautions,risk_level
Epilepsy,Low,Bronchodilator; Antihistamine; Steroids,Maintain hygiene; Carry prescribed medicines; Stay hydrated; Avoid extreme temperatures,Carry emergency kit; Use mosquito repellent; Follow medication schedule,High
Depression,High,Antibiotics; Paracetamol; Antivirals,Avoid extreme temperatures; Wear protective mask; Maintain hygiene; Stay hydrated,Use mosquito repellent; Consult doctor before travel; Avoid heavy physical activity,Critical
Liver Disease,Moderate,ORS; Paracetamol; Pain Reliever; Antivirals,Avoid crowded places; Avoid extreme temperatures; Stay hydrated; Take adequate rest,Follow medication schedule; Consult doctor before travel; Carry emergency kit,Moderate
Hypertension,High,Ibuprofen; Paracetamol; ORS,Monitor symptoms regularly; Maintain hygiene; Wear protective mask; Avoid extreme temperatures,Avoid allergens; Use mosquito repellent; Follow medication schedule,High
Dehydration,Low,Insulin; Antimalarial; ORS,Carry prescribed medicines; Maintain hygiene; Stay hydrated; Avoid extreme temperatures,Carry emergency kit; Avoid allergens; Follow medication schedule,Low
Allergy,Low,ORS; Antibiotics; Antivirals,Monitor symptoms regularly; Avoid crowded places; Carry prescribed medicines; Stay hydrated,Use mosquito repellent; Avoid heavy physical activity; Avoid allergens,Low
Anemia,Low,Insulin; Antibiotics,Carry prescribed medicines; Wear protective mask; Stay hydrated; Avoid extreme temperatures,Follow medication schedule; Carry emergency kit; Consult doctor before travel,Critical
Kidney Disease,Low,Steroids; Antimalarial; Paracetamol; ORS,Maintain hygiene; Monitor symptoms regularly; Take adequate rest; Stay hydrated,Avoid heavy physical activity; Avoid allergens; Follow medication schedule,High
Epilepsy,High,Pain Reliever; Antibiotics,Stay hydrated; Avoid crowded places; Carry prescribed medicines; Take adequate rest,Avoid heavy physical activity; Avoid allergens; Follow medication schedule,Critical
Hypertension,Moderate,Antimalarial; Pain Reliever; Ibuprofen,Avoid extreme temperatures; Maintain hygiene; Stay hydrated; Monitor symptoms regularly,Avoid heavy physical activity; Consult doctor before travel; Avoid allergens,Critical
Measles,Low,Steroids; Bronchodilator; Pain Reliever; Ibuprofen,Avoid crowded places; Take adequate rest; Maintain hygiene; Wear protective mask,Avoid allergens; Consult doctor before travel; Use mosquito repellent,Low
Tuberculosis,High,Antibiotics; ORS; Insulin; Bronchodilator,Carry prescribed medicines; Maintain hygiene; Monitor symptoms regularly; Avoid crowded places,Follow medication schedule; Carry emergency kit; Avoid allergens,High
Psoriasis,High,Antivirals; Bronchodilator; Ibuprofen,Carry prescribed medicines; Avoid crowded places; Avoid extreme temperatures; Stay hydrated,Avoid heavy physical activity; Consult doctor before travel; Follow medication schedule,Critical
Neck Pain,High,Steroids; Insulin,Wear protective mask; Carry prescribed medicines; Monitor symptoms regularly; Stay hydrated,Consult doctor before travel; Carry emergency kit; Avoid heavy physical activity,Critical
Lyme Disease,High,Antihistamine; Antibiotics; Paracetamol,Carry prescribed medicines; Avoid extreme temperatures; Maintain hygiene; Monitor symptoms regularly,Consult doctor before travel; Avoid allergens; Carry emergency kit,Low
Hypertension,High,Ibuprofen; Antihistamine; Bronchodilator,Monitor symptoms regularly; Stay hydrated; Avoid crowded places; Carry prescribed medicines,Avoid allergens; Follow medication schedule; Avoid heavy physical activity,Critical
Fungal Infection,Moderate,Pain Reliever; Ibuprofen; Antihistamine,Carry prescribed medicines; Wear protective mask; Avoid crowded places; Avoid extreme temperatures,Avoid heavy physical activity; Follow medication schedule; Carry emergency kit,Low
Typhoid,Low,Paracetamol; Antimalarial,Maintain hygiene; Avoid crowded places; Wear protective mask; Stay hydrated,Avoid heavy physical activity; Follow medication schedule; Use mosquito repellent,Low
Cancer,High,Antihistamine; ORS; Bronchodilator,Stay hydrated; Maintain hygiene; Avoid extreme temperatures; Carry prescribed medicines,Carry emergency kit; Avoid allergens; Consult doctor before travel,Low
Epilepsy,Moderate,Antibiotics; Antivirals; Paracetamol; Steroids,Avoid crowded places; Monitor symptoms regularly; Stay hydrated; Carry prescribed medicines,Consult doctor before travel; Avoid heavy physical activity; Carry emergency kit,Critical
Obesity,Low,Insulin; Antibiotics,Monitor symptoms regularly; Carry prescribed medicines; Avoid extreme temperatures; Stay hydrated,Avoid heavy physical activity; Consult doctor before travel; Avoid allergens,High
Neck Pain,High,Ibuprofen; Antimalarial; Antihistamine; Antibiotics,Carry prescribed medicines; Take adequate rest; Wear protective mask; Stay hydrated,Avoid heavy physical activity; Follow medication schedule; Carry emergency kit,High
Motion Sickness,High,Ibuprofen; Antibiotics,Wear protective mask; Take adequate rest; Carry prescribed medicines; Avoid crowded places,Carry emergency kit; Follow medication schedule; Avoid allergens,Low
Arthritis,Low,Pain Reliever; Antimalarial; Ibuprofen,Avoid extreme temperatures; Maintain hygiene; Carry prescribed medicines; Wear protective mask,Carry emergency kit; Use mosquito repellent; Avoid heavy physical activity,Low
Altitude Sickness,Low,Antihistamine; Antivirals; Pain Reliever,Avoid crowded places; Avoid extreme temperatures; Wear protective mask; Stay hydrated,Consult doctor before travel; Avoid heavy physical activity; Carry emergency kit,Critical
Motion Sickness,Moderate,Antihistamine; Antimalarial,Avoid crowded places; Take adequate rest; Stay hydrated; Avoid extreme temperatures,Consult doctor before travel; Avoid heavy physical activity; Avoid allergens,High
Depression,Moderate,Paracetamol; Antimalarial; Bronchodilator; Antihistamine,Stay hydrated; Avoid extreme temperatures; Monitor symptoms regularly; Avoid crowded places,Consult doctor before travel; Avoid allergens; Carry emergency kit,Low
Liver Disease,Moderate,ORS; Antimalarial,Take adequate rest; Carry prescribed medicines; Wear protective mask; Monitor symptoms regularly,Carry emergency kit; Consult doctor before travel; Use mosquito repellent,Critical
Allergy,Low,Steroids; Antimalarial; Pain Reliever,Avoid crowded places; Monitor symptoms regularly; Maintain hygiene; Stay hydrated,Carry emergency kit; Follow medication schedule; Avoid allergens,High
Measles,High,Insulin; Pain Reliever; Bronchodilator; Antibiotics,Stay hydrated; Avoid crowded places; Monitor symptoms regularly; Avoid extreme temperatures,Consult doctor before travel; Avoid allergens; Avoid heavy physical activity,Critical
Motion Sickness,Low,Steroids; Antibiotics; Insulin; ORS,Take adequate rest; Maintain hygiene; Carry prescribed medicines; Wear protective mask,Follow medication schedule; Avoid heavy physical activity; Consult doctor before travel,Moderate
Sleep Apnea,High,Pain Reliever; Antimalarial; Paracetamol; Steroids,Avoid extreme temperatures; Monitor symptoms regularly; Avoid crowded places; Take adequate rest,Use mosquito repellent; Avoid allergens; Avoid heavy physical activity,High
Lyme Disease,Moderate,Antimalarial; ORS; Ibuprofen; Insulin,Stay hydrated; Carry prescribed medicines; Avoid extreme temperatures; Maintain hygiene,Use mosquito repellent; Follow medication schedule; Avoid heavy physical activity,Low
Rabies,High,Antivirals; Antimalarial; Ibuprofen,Avoid extreme temperatures; Maintain hygiene; Wear protective mask; Take adequate rest,Follow medication schedule; Consult doctor before travel; Avoid heavy physical activity,Moderate
Bronchitis,Low,Antivirals; Pain Reliever; Antimalarial,Stay hydrated; Avoid crowded places; Wear protective mask; Maintain hygiene,Consult doctor before travel; Use mosquito repellent; Avoid allergens,Moderate
Meningitis,High,Paracetamol; Ibuprofen; Pain Reliever; Bronchodilator,Wear protective mask; Avoid extreme temperatures; Monitor symptoms regularly; Carry prescribed medicines,Consult doctor before travel; Carry emergency kit; Follow medication schedule,High
Heart Disease,Moderate,Steroids; Antimalarial,Take adequate rest; Wear protective mask; Maintain hygiene; Avoid extreme temperatures,Use mosquito repellent; Follow medication schedule; Avoid allergens,Critical
Insomnia,Moderate,Ibuprofen; Pain Reliever,Maintain hygiene; Carry prescribed medicines; Avoid crowded places; Monitor symptoms regularly,Use mosquito repellent; Carry emergency kit; Follow medication schedule,High
Heat Stroke,Moderate,ORS; Steroids; Antivirals; Paracetamol,Take adequate rest; Carry prescribed medicines; Monitor symptoms regularly; Maintain hygiene,Consult doctor before travel; Use mosquito repellent; Follow medication schedule,Moderate
Insomnia,High,Antihistamine; Antivirals,Maintain hygiene; Monitor symptoms regularly; Stay hydrated; Wear protective mask,Carry emergency kit; Avoid allergens; Follow medication schedule,Low
Leprosy,High,Antihistamine; ORS; Ibuprofen; Antivirals,Monitor symptoms regularly; Avoid extreme temperatures; Wear protective mask; Take adequate rest,Follow medication schedule; Avoid allergens; Avoid heavy physical activity,Low
Heat Stroke,High,Insulin; Antivirals; Steroids,Stay hydrated; Take adequate rest; Avoid extreme temperatures; Avoid crowded places,Avoid allergens; Consult doctor before travel; Carry emergency kit,High
Lyme Disease,Low,Antibiotics; Pain Reliever,Stay hydrated; Avoid crowded places; Monitor symptoms regularly; Avoid extreme temperatures,Follow medication schedule; Consult doctor before travel; Avoid heavy physical activity,Critical
Malaria,Low,Paracetamol; Steroids,Wear protective mask; Carry prescribed medicines; Avoid extreme temperatures; Take adequate rest,Consult doctor before travel; Avoid allergens; Carry emergency kit,High
Anemia,Moderate,Paracetamol; Antihistamine,Avoid crowded places; Avoid extreme temperatures; Take adequate rest; Carry prescribed medicines,Use mosquito repellent; Avoid allergens; Avoid heavy physical activity,Low
Altitude Sickness,Moderate,Antibiotics; Insulin; Antihistamine; Ibuprofen,Take adequate rest; Avoid crowded places; Avoid extreme temperatures; Carry prescribed medicines,Avoid heavy physical activity; Use mosquito repellent; Avoid allergens,Critical
Osteoporosis,High,Antimalarial; Bronchodilator; Antihistamine,Maintain hygiene; Wear protective mask; Stay hydrated; Take adequate rest,Avoid allergens; Consult doctor before travel; Follow medication schedule,Critical
Hepatitis,Low,Steroids; Paracetamol; Antimalarial,Wear protective mask; Stay hydrated; Carry prescribed medicines; Maintain hygiene,Follow medication schedule; Use mosquito repellent; Consult doctor before travel,Critical
Heart Disease,High,Bronchodilator; Antibiotics; Antihistamine; Insulin,Monitor symptoms regularly; Maintain hygiene; Wear protective mask; Avoid extreme temperatures,Consult doctor before travel; Avoid heavy physical activity; Follow medication schedule,Low
Food Poisoning,High,Antimalarial; Steroids; Antibiotics; Ibuprofen,Stay hydrated; Wear protective mask; Avoid extreme temperatures; Maintain hygiene,Avoid allergens; Follow medication schedule; Consult doctor before travel,High
Scabies,Moderate,Pain Reliever; Antimalarial,Maintain hygiene; Monitor symptoms regularly; Stay hydrated; Avoid crowded places,Carry emergency kit; Use mosquito repellent; Avoid heavy physical activity,Moderate
Ear Infection,Moderate,Antihistamine; Antibiotics; Antivirals; Paracetamol,Avoid extreme temperatures; Wear protective mask; Take adequate rest; Avoid crowded places,Avoid allergens; Carry emergency kit; Consult doctor before travel,Critical
Astigmatism,Moderate,Antimalarial; Insulin; ORS; Steroids,Avoid extreme temperatures; Wear protective mask; Avoid crowded places; Stay hydrated,Avoid allergens; Follow medication schedule; Avoid heavy physical activity,High
Sinusitis,Low,Paracetamol; Insulin; ORS; Antibiotics,Carry prescribed medicines; Take adequate rest; Wear protective mask; Avoid crowded places,Avoid heavy physical activity; Avoid allergens; Consult doctor before travel,Low
Cancer,Moderate,Antimalarial; Antivirals; Ibuprofen; ORS,Avoid extreme temperatures; Carry prescribed medicines; Avoid crowded places; Take adequate rest,Use mosquito repellent; Follow medication schedule; Carry emergency kit,High
Asthma,Moderate,Antibiotics; Antimalarial; Antihistamine,Avoid extreme temperatures; Avoid crowded places; Maintain hygiene; Take adequate rest,Avoid heavy physical activity; Avoid allergens; Use mosquito repellent,High
Depression,Low,Pain Reliever; Steroids; Bronchodilator; Insulin,Take adequate rest; Wear protective mask; Stay hydrated; Carry prescribed medicines,Carry emergency kit; Follow medication schedule; Avoid heavy physical activity,Critical
Heat Stroke,High,Paracetamol; Antibiotics,Stay hydrated; Avoid extreme temperatures; Take adequate rest; Avoid crowded places,Avoid heavy physical activity; Consult doctor before travel; Carry emergency kit,High
Fungal Infection,Low,Antimalarial; Antihistamine,Carry prescribed medicines; Maintain hygiene; Monitor symptoms regularly; Avoid extreme temperatures,Follow medication schedule; Use mosquito repellent; Consult doctor before travel,Moderate
Leprosy,Moderate,Bronchodilator; Pain Reliever,Wear protective mask; Avoid extreme temperatures; Maintain hygiene; Stay hydrated,Avoid heavy physical activity; Consult doctor before travel; Avoid allergens,Critical
COVID-19,Moderate,Antimalarial; Antibiotics; Bronchodilator,Wear protective mask; Stay hydrated; Avoid extreme temperatures; Avoid crowded places,Follow medication schedule; Carry emergency kit; Avoid allergens,Low
Hepatitis,Low,Paracetamol; Steroids; Bronchodilator,Take adequate rest; Carry prescribed medicines; Monitor symptoms regularly; Avoid crowded places,Avoid heavy physical activity; Consult doctor before travel; Follow medication schedule,Moderate
Bronchial Infection,Low,ORS; Ibuprofen; Antihistamine,Avoid extreme temperatures; Carry prescribed medicines; Monitor symptoms regularly; Wear protective mask,Consult doctor before travel; Follow medication schedule; Avoid heavy physical activity,Moderate
